komentar,label,komentar_cleaned_p1,tokenized_text_p2,text_slang_p2,text_slang_str_p2,text_stopword_p2,text_stemmed_p2
"Prosesnya sangat mudah diikuti, terima kasih kepada pulαυ777.",1,prosesnya sangat mudah diikuti terima kasih kepada pulau777,"['prosesnya', 'sangat', 'mudah', 'diikuti', 'terima', 'kasih', 'kepada', 'pulau777']","['prosesnya', 'sangat', 'mudah', 'diikuti', 'terima', 'kasih', 'kepada', 'pulau777']",prosesnya sangat mudah diikuti terima kasih kepada pulau777,prosesnya mudah diikuti terima kasih pulau777,proses mudah ikut terima kasih pulau777
Gas bang modif xmax,0,gas bang modif xmax,"['gas', 'bang', 'modif', 'xmax']","['gas', 'bang', 'modif', 'xmax']",gas bang modif xmax,gas bang modif xmax,gas bang modif xmax
ℙ𝕌𝕃𝔸𝕌𝕎𝕀ℕ itu nama orang? Produk? Sekte? HELP gue butuh jawaban.,1,pulauwin itu nama orang produk sekte help gue butuh jawaban,"['pulauwin', 'itu', 'nama', 'orang', 'produk', 'sekte', 'help', 'gue', 'butuh', 'jawaban']","['pulauwin', 'itu', 'nama', 'orang', 'produk', 'sekte', 'help', 'saya', 'butuh', 'jawaban']",pulauwin itu nama orang produk sekte help saya butuh jawaban,pulauwin nama orang produk sekte help butuh,pulauwin nama orang produk sekte help butuh
Beh dempulnya tebel amat dah,0,beh dempulnya tebel amat dah,"['beh', 'dempulnya', 'tebel', 'amat', 'dah']","['beh', 'dempulnya', 'tebel', 'amat', 'sudah']",beh dempulnya tebel amat sudah,beh dempulnya tebel,beh dempul tebel
lancar acaranya mantaappp🥰🥰🥰,0,lancar acaranya mantaappp,"['lancar', 'acaranya', 'mantaappp']","['lancar', 'acaranya', 'mantaappp']",lancar acaranya mantaappp,lancar acaranya mantaappp,lancar acara mantaappp
sukaaa bangettt 𝐒 𝙂ｉ𝟖 𝟖,1,sukaaa bangettt s gi8 8,"['sukaaa', 'bangettt', 's', 'gi8', '8']","['sukaaa', 'bangettt', 's', 'gi8', '8']",sukaaa bangettt s gi8 8,sukaaa bangettt gi8 8,sukaaa bangettt gi8 8
"gue udah coba main jam-jam , alexis17 , emang gacor jam fajar",1,gue udah coba main jam jam alexis17 emang gacor jam fajar,"['gue', 'udah', 'coba', 'main', 'jam', 'jam', 'alexis17', 'emang', 'gacor', 'jam', 'fajar']","['saya', 'sudah', 'coba', 'main', 'jam', 'jam', 'alexis17', 'emang', 'gacor', 'jam', 'fajar']",saya sudah coba main jam jam alexis17 emang gacor jam fajar,coba main jam jam alexis17 emang gacor jam fajar,coba main jam jam alexis17 emang gacor jam fajar
"Asli gak boong, di 💞𝘼LEXIS-17💞 scatter-nya gampang keluar.",1,asli gak boong di alexis 17 scatter nya gampang keluar,"['asli', 'gak', 'boong', 'di', 'alexis', '17', 'scatter', 'nya', 'gampang', 'keluar']","['asli', 'tidak', 'boong', 'di', 'alexis', '17', 'scatter', 'nya', 'gampang', 'keluar']",asli tidak boong di alexis 17 scatter nya gampang keluar,asli boong alexis 17 scatter nya gampang,asli boong alexis 17 scatter nya gampang
"Bapak lu kaya , lu aman",0,bapak lu kaya lu aman,"['bapak', 'lu', 'kaya', 'lu', 'aman']","['bapak', 'kamu', 'kaya', 'kamu', 'aman']",bapak kamu kaya kamu aman,kaya aman,kaya aman
hadir lagi nih PULAU777,1,hadir lagi nih pulau777,"['hadir', 'lagi', 'nih', 'pulau777']","['hadir', 'lagi', 'nih', 'pulau777']",hadir lagi nih pulau777,hadir nih pulau777,hadir nih pulau777
Alahh udah kayak paling sedunia ajaa,0,alahh udah kayak paling sedunia ajaa,"['alahh', 'udah', 'kayak', 'paling', 'sedunia', 'ajaa']","['alahh', 'sudah', 'kayak', 'paling', 'sedunia', 'ajaa']",alahh sudah kayak paling sedunia ajaa,alahh kayak sedunia ajaa,alahh kayak dunia ajaa
kelas bawah menengah,0,kelas bawah menengah,"['kelas', 'bawah', 'menengah']","['kelas', 'bawah', 'menengah']",kelas bawah menengah,kelas menengah,kelas tengah
salahnya dimana ya?,0,salahnya dimana ya,"['salahnya', 'dimana', 'ya']","['salahnya', 'dimana', 'ya']",salahnya dimana ya,salahnya dimana ya,salah mana ya
epic moment 𝗦𝗚𝗜𝟴𝟴,1,epic moment sgi88,"['epic', 'moment', 'sgi88']","['epic', 'moment', 'sgi88']",epic moment sgi88,epic moment sgi88,epic moment sgi88
Jogja istimewa:medal-yellow-first-red:,0,jogja istimewa medal yellow first red,"['jogja', 'istimewa', 'medal', 'yellow', 'first', 'red']","['jogja', 'istimewa', 'medal', 'yellow', 'first', 'red']",jogja istimewa medal yellow first red,jogja istimewa medal yellow first red,jogja istimewa medal yellow first red
yg judol akunya ke block,0,yg judol akunya ke block,"['yg', 'judol', 'akunya', 'ke', 'block']","['yg', 'judol', 'akunya', 'ke', 'block']",yg judol akunya ke block,yg judol akunya block,yg judol aku block
udah temen bilang 𝘼𝙇𝙀𝙓𝙄𝙎17 seru abis ! .,1,udah temen bilang alexis17 seru abis,"['udah', 'temen', 'bilang', 'alexis17', 'seru', 'abis']","['sudah', 'temen', 'bilang', 'alexis17', 'seru', 'abis']",sudah temen bilang alexis17 seru abis,temen bilang alexis17 seru abis,temen bilang alexis17 seru abis
rezeki 𝐷оrа𝟩𝟳 ! ketinggalan !,1,rezeki dora77 ketinggalan,"['rezeki', 'dora77', 'ketinggalan']","['rezeki', 'dora77', 'ketinggalan']",rezeki dora77 ketinggalan,rezeki dora77 ketinggalan,rezeki dora77 tinggal
MORENO KONGA !,0,moreno konga,"['moreno', 'konga']","['moreno', 'konga']",moreno konga,moreno konga,moreno konga
mandalika77 pelunas utang gw cok WKWKWKWK,1,mandalika77 pelunas utang gw cok wkwkwkwk,"['mandalika77', 'pelunas', 'utang', 'gw', 'cok', 'wkwkwkwk']","['mandalika77', 'pelunas', 'utang', 'saya', 'cok', 'wkwkwkwk']",mandalika77 pelunas utang saya cok wkwkwkwk,mandalika77 pelunas utang cok wkwkwkwk,mandalika77 lunas utang cok wkwkwkwk
"Baru maen lgsng jepe, sketer terus",1,baru maen lgsng jepe sketer terus,"['baru', 'maen', 'lgsng', 'jepe', 'sketer', 'terus']","['baru', 'maen', 'lgsng', 'jepe', 'sketer', 'terus']",baru maen lgsng jepe sketer terus,maen lgsng jepe sketer,maen lgsng jepe sketer
kangen jogjaaaa,0,kangen jogjaaaa,"['kangen', 'jogjaaaa']","['kangen', 'jogjaaaa']",kangen jogjaaaa,kangen jogjaaaa,kangen jogjaaaa
Tempo kan ngerasa ga butuh... Selalu udah dapet info A1 wkwkwk,0,tempo kan ngerasa ga butuh selalu udah dapet info a1 wkwkwk,"['tempo', 'kan', 'ngerasa', 'ga', 'butuh', 'selalu', 'udah', 'dapet', 'info', 'a1', 'wkwkwk']","['tempo', 'kan', 'ngerasa', 'tidak', 'butuh', 'selalu', 'sudah', 'dapet', 'info', 'a1', 'wkwkwk']",tempo kan ngerasa tidak butuh selalu sudah dapet info a1 wkwkwk,tempo ngerasa butuh dapet info a1 wkwkwk,tempo ngerasa butuh dapet info a1 wkwkwk
"𝒫𝓊𝓁𝒶𝓊777 emang Gacir, jepe hari ini lagi!",1,pulau777 emang gacir jepe hari ini lagi,"['pulau777', 'emang', 'gacir', 'jepe', 'hari', 'ini', 'lagi']","['pulau777', 'emang', 'gacir', 'jepe', 'hari', 'ini', 'lagi']",pulau777 emang gacir jepe hari ini lagi,pulau777 emang gacir jepe,pulau777 emang gacir jepe
Mencari komunitas penggemar? 𝐷O𝐑А𝟳𝟽 mungkin tempatnya.,1,mencari komunitas penggemar dora77 mungkin tempatnya,"['mencari', 'komunitas', 'penggemar', 'dora77', 'mungkin', 'tempatnya']","['mencari', 'komunitas', 'penggemar', 'dora77', 'mungkin', 'tempatnya']",mencari komunitas penggemar dora77 mungkin tempatnya,mencari komunitas penggemar dora77 tempatnya,cari komunitas gemar dora77 tempat
:hand-pink-waving::hand-pink-waving::hand-pink-waving::hand-pink-waving::hand-pink-waving::hand-pink-waving::hand-pink-waving::hand-pink-waving::hand-pink-waving::hand-pink-waving::hand-pink-waving::hand-pink-waving:,0,hand pink waving hand pink waving hand pink waving hand pink waving hand pink waving hand pink waving hand pink waving hand pink waving hand pink waving hand pink waving hand pink waving hand pink waving,"['hand', 'pink', 'waving', 'hand', 'pink', 'waving', 'hand', 'pink', 'waving', 'hand', 'pink', 'waving', 'hand', 'pink', 'waving', 'hand', 'pink', 'waving', 'hand', 'pink', 'waving', 'hand', 'pink', 'waving', 'hand', 'pink', 'waving', 'hand', 'pink', 'waving', 'hand', 'pink', 'waving', 'hand', 'pink', 'waving']","['hand', 'pink', 'waving', 'hand', 'pink', 'waving', 'hand', 'pink', 'waving', 'hand', 'pink', 'waving', 'hand', 'pink', 'waving', 'hand', 'pink', 'waving', 'hand', 'pink', 'waving', 'hand', 'pink', 'waving', 'hand', 'pink', 'waving', 'hand', 'pink', 'waving', 'hand', 'pink', 'waving', 'hand', 'pink', 'waving']",hand pink waving hand pink waving hand pink waving hand pink waving hand pink waving hand pink waving hand pink waving hand pink waving hand pink waving hand pink waving hand pink waving hand pink waving,hand pink waving hand pink waving hand pink waving hand pink waving hand pink waving hand pink waving hand pink waving hand pink waving hand pink waving hand pink waving hand pink waving hand pink waving,hand pink waving hand pink waving hand pink waving hand pink waving hand pink waving hand pink waving hand pink waving hand pink waving hand pink waving hand pink waving hand pink waving hand pink waving
Pasar modal adalah pasar saham 😂,0,pasar modal adalah pasar saham,"['pasar', 'modal', 'adalah', 'pasar', 'saham']","['pasar', 'modal', 'adalah', 'pasar', 'saham']",pasar modal adalah pasar saham,pasar modal pasar saham,pasar modal pasar saham
:hand-pink-waving::hand-pink-waving:,0,hand pink waving hand pink waving,"['hand', 'pink', 'waving', 'hand', 'pink', 'waving']","['hand', 'pink', 'waving', 'hand', 'pink', 'waving']",hand pink waving hand pink waving,hand pink waving hand pink waving,hand pink waving hand pink waving
live dulu barang kali tahun depan bisa kesitu🤲,0,live dulu barang kali tahun depan bisa kesitu,"['live', 'dulu', 'barang', 'kali', 'tahun', 'depan', 'bisa', 'kesitu']","['live', 'dulu', 'barang', 'kali', 'tahun', 'depan', 'bisa', 'kesitu']",live dulu barang kali tahun depan bisa kesitu,live barang kali kesitu,live barang kali kesitu
"𝘼𝙇𝙀𝙓𝙄𝙎17 emang daun banget , gila sih . serius !",1,alexis17 emang daun banget gila sih serius,"['alexis17', 'emang', 'daun', 'banget', 'gila', 'sih', 'serius']","['alexis17', 'emang', 'daun', 'banget', 'gila', 'sih', 'serius']",alexis17 emang daun banget gila sih serius,alexis17 emang daun banget gila sih serius,alexis17 emang daun banget gila sih serius
Sugeng Tanggap Warso Kutho Jogja Kaping 268...saking Kelurgo ageng:popcorn-yellow-striped-smile::popcorn-yellow-striped-smile:BUK DHUWUR 08,0,sugeng tanggap warso kutho jogja kaping 268 saking kelurgo ageng popcorn yellow striped smile popcorn yellow striped smile buk dhuwur o8,"['sugeng', 'tanggap', 'warso', 'kutho', 'jogja', 'kaping', '268', 'saking', 'kelurgo', 'ageng', 'popcorn', 'yellow', 'striped', 'smile', 'popcorn', 'yellow', 'striped', 'smile', 'buk', 'dhuwur', 'o8']","['sugeng', 'tanggap', 'warso', 'kutho', 'jogja', 'kaping', '268', 'saking', 'kelurgo', 'ageng', 'popcorn', 'yellow', 'striped', 'smile', 'popcorn', 'yellow', 'striped', 'smile', 'buk', 'dhuwur', 'o8']",sugeng tanggap warso kutho jogja kaping 268 saking kelurgo ageng popcorn yellow striped smile popcorn yellow striped smile buk dhuwur o8,sugeng tanggap warso kutho jogja kaping 268 saking kelurgo ageng popcorn yellow striped smile popcorn yellow striped smile buk dhuwur o8,sugeng tanggap warso kutho jogja kaping 268 saking kelurgo ageng popcorn yellow striped smile popcorn yellow striped smile buk dhuwur o8
14:10 Terbaik! 𝗕𝗘𝗥𝗞𝗔𝗛𝟵𝟵 sukses bantu banyak orang dengan cepat.,1,14 1o terbaik berkah99 sukses bantu banyak orang dengan cepat,"['14', '1o', 'terbaik', 'berkah99', 'sukses', 'bantu', 'banyak', 'orang', 'dengan', 'cepat']","['14', '1o', 'terbaik', 'berkah99', 'sukses', 'bantu', 'banyak', 'orang', 'dengan', 'cepat']",14 1o terbaik berkah99 sukses bantu banyak orang dengan cepat,14 1o terbaik berkah99 sukses bantu orang cepat,14 1o baik berkah99 sukses bantu orang cepat
Langsung gas sih harga nya gak mahal amat juga bang wkwk,0,langsung gas sih harga nya gak mahal amat juga bang wkwk,"['langsung', 'gas', 'sih', 'harga', 'nya', 'gak', 'mahal', 'amat', 'juga', 'bang', 'wkwk']","['langsung', 'gas', 'sih', 'harga', 'nya', 'tidak', 'mahal', 'amat', 'juga', 'bang', 'wkwk']",langsung gas sih harga nya tidak mahal amat juga bang wkwk,langsung gas sih harga nya mahal bang wkwk,langsung gas sih harga nya mahal bang wkwk
3 jam wowok yapping ngalor ngidul,0,3 jam wowok yapping ngalor ngidul,"['3', 'jam', 'wowok', 'yapping', 'ngalor', 'ngidul']","['3', 'jam', 'wowok', 'yapping', 'ngalor', 'ngidul']",3 jam wowok yapping ngalor ngidul,3 jam wowok yapping ngalor ngidul,3 jam wowok yapping ngalor ngidul
Emang rx7 nya masih punya armuh?,0,emang rx7 nya masih punya armuh,"['emang', 'rx7', 'nya', 'masih', 'punya', 'armuh']","['emang', 'rx7', 'nya', 'masih', 'punya', 'armuh']",emang rx7 nya masih punya armuh,emang rx7 nya armuh,emang rx7 nya armuh
"​ @AnggoroDps_9  coba jelasin wir, apa yg lu tangkep dari prabowo",0,anggorodps 9 coba jelasin wir apa yg lu tangkep dari prabowo,"['anggorodps', '9', 'coba', 'jelasin', 'wir', 'apa', 'yg', 'lu', 'tangkep', 'dari', 'prabowo']","['anggorodps', '9', 'coba', 'jelasin', 'wir', 'apa', 'yg', 'kamu', 'tangkep', 'dari', 'prabowo']",anggorodps 9 coba jelasin wir apa yg kamu tangkep dari prabowo,anggorodps 9 coba jelasin wir yg tangkep prabowo,anggorodps 9 coba jelasin wir yg tangkep prabowo
Gacor banget si Dededn habis make yah,1,gacor banget si dededn habis make yah,"['gacor', 'banget', 'si', 'dededn', 'habis', 'make', 'yah']","['gacor', 'banget', 'si', 'dededn', 'habis', 'make', 'yah']",gacor banget si dededn habis make yah,gacor banget si dededn habis make yah,gacor banget si dededn habis make yah
heh ojo kasar karo wong tuo gar,0,heh ojo kasar karo wong tuo gar,"['heh', 'ojo', 'kasar', 'karo', 'wong', 'tuo', 'gar']","['heh', 'ojo', 'kasar', 'karo', 'wong', 'tuo', 'gar']",heh ojo kasar karo wong tuo gar,heh ojo kasar karo tuo gar,heh ojo kasar karo tuo gar
Dipo ga diboostni?,0,dipo ga diboostni,"['dipo', 'ga', 'diboostni']","['dipo', 'tidak', 'diboostni']",dipo tidak diboostni,dipo diboostni,dipo diboostni
Makasih bro,0,makasih bro,"['makasih', 'bro']","['makasih', 'bro']",makasih bro,makasih bro,makasih bro
Ya ndak tau ko tanya sama saya..,0,ya ndak tau ko tanya sama saya,"['ya', 'ndak', 'tau', 'ko', 'tanya', 'sama', 'saya']","['ya', 'tidak', 'tahu', 'ko', 'tanya', 'sama', 'saya']",ya tidak tahu ko tanya sama saya,ya ko,ya ko
"BAHASA JUDI,, MASUK IKLAN MAHJONG KAN BANG",1,bahasa judi masuk iklan mahjong kan bang,"['bahasa', 'judi', 'masuk', 'iklan', 'mahjong', 'kan', 'bang']","['bahasa', 'judi', 'masuk', 'iklan', 'mahjong', 'kan', 'bang']",bahasa judi masuk iklan mahjong kan bang,bahasa judi masuk iklan mahjong bang,bahasa judi masuk iklan mahjong bang
Kalau di film2 biasa pemimpin bicara gini di depan ada layar teksnya,0,kalau di film2 biasa pemimpin bicara gini di depan ada layar teksnya,"['kalau', 'di', 'film2', 'biasa', 'pemimpin', 'bicara', 'gini', 'di', 'depan', 'ada', 'layar', 'teksnya']","['kalau', 'di', 'film2', 'biasa', 'pemimpin', 'bicara', 'gini', 'di', 'depan', 'ada', 'layar', 'teksnya']",kalau di film2 biasa pemimpin bicara gini di depan ada layar teksnya,film2 pemimpin bicara gini layar teksnya,film2 pimpin bicara gin layar teks
"swert bonanja gacir , modal jepek",1,swert bonanja gacir modal jepek,"['swert', 'bonanja', 'gacir', 'modal', 'jepek']","['swert', 'bonanja', 'gacir', 'modal', 'jepek']",swert bonanja gacir modal jepek,swert bonanja gacir modal jepek,swert bonanja gacir modal jepek
woi lamaa,0,woi lamaa,"['woi', 'lamaa']","['woi', 'lamaa']",woi lamaa,woi lamaa,woi lamaa
kayaknya ini yutuber di sponsorin P U L A U W I N deh,1,kayaknya ini yutuber di sponsorin pulauwin deh,"['kayaknya', 'ini', 'yutuber', 'di', 'sponsorin', 'pulauwin', 'deh']","['kayaknya', 'ini', 'yutuber', 'di', 'sponsorin', 'pulauwin', 'deh']",kayaknya ini yutuber di sponsorin pulauwin deh,kayaknya yutuber sponsorin pulauwin deh,kayak yutuber sponsorin pulauwin deh
𝐷 𝙀 𝘞 a d 𝘖 𝙍 𝐀menawarkan kesempatan berbagi pengalaman .,1,dewador amenawarkan kesempatan berbagi pengalaman,"['dewador', 'amenawarkan', 'kesempatan', 'berbagi', 'pengalaman']","['dewador', 'amenawarkan', 'kesempatan', 'berbagi', 'pengalaman']",dewador amenawarkan kesempatan berbagi pengalaman,dewador amenawarkan kesempatan berbagi pengalaman,dewador amenawarkan sempat bagi alam
"Swert Bonanja gacir pol, nggak prnh zonk",1,swert bonanja gacir pol nggak prnh zonk,"['swert', 'bonanja', 'gacir', 'pol', 'nggak', 'prnh', 'zonk']","['swert', 'bonanja', 'gacir', 'pol', 'tidak', 'prnh', 'zonk']",swert bonanja gacir pol tidak prnh zonk,swert bonanja gacir pol prnh zonk,swert bonanja gacir pol prnh zonk
"gabung alexis17 sebulan , udah beli tanah !",1,gabung alexis17 sebulan udah beli tanah,"['gabung', 'alexis17', 'sebulan', 'udah', 'beli', 'tanah']","['gabung', 'alexis17', 'sebulan', 'sudah', 'beli', 'tanah']",gabung alexis17 sebulan sudah beli tanah,gabung alexis17 sebulan beli tanah,gabung alexis17 bulan beli tanah
"Rezeki dari 𝐀HM𝐀𝘿𝘛𝙊𝙏𝙊sungguh luar biasa, terima kasih Tuhan!",1,rezeki dari ahmadtotosungguh luar biasa terima kasih tuhan,"['rezeki', 'dari', 'ahmadtotosungguh', 'luar', 'biasa', 'terima', 'kasih', 'tuhan']","['rezeki', 'dari', 'ahmadtotosungguh', 'luar', 'biasa', 'terima', 'kasih', 'tuhan']",rezeki dari ahmadtotosungguh luar biasa terima kasih tuhan,rezeki ahmadtotosungguh terima kasih tuhan,rezeki ahmadtotosungguh terima kasih tuhan
"Luar biasa!🔥𝙅𝙐𝙇𝙄𝙀𝙏4𝘿🔥,  Semangat bikin video sebagus ini terus !!!",1,luar biasa juliet4d semangat bikin video sebagus ini terus,"['luar', 'biasa', 'juliet4d', 'semangat', 'bikin', 'video', 'sebagus', 'ini', 'terus']","['luar', 'biasa', 'juliet4d', 'semangat', 'bikin', 'video', 'sebagus', 'ini', 'terus']",luar biasa juliet4d semangat bikin video sebagus ini terus,juliet4d semangat bikin video sebagus,juliet4d semangat bikin video bagus
Tes vidionya mana bang,0,tes vidionya mana bang,"['tes', 'vidionya', 'mana', 'bang']","['tes', 'vidionya', 'mana', 'bang']",tes vidionya mana bang,tes vidionya bang,tes vidionya bang
dan bila esookk,0,dan bila esookk,"['dan', 'bila', 'esookk']","['dan', 'bila', 'esookk']",dan bila esookk,esookk,esookk
Di iya iyain biar cpet kelar 😂😂,0,di iya iyain biar cpet kelar,"['di', 'iya', 'iyain', 'biar', 'cpet', 'kelar']","['di', 'iya', 'iyain', 'biar', 'cpet', 'kelar']",di iya iyain biar cpet kelar,iya iyain biar cpet kelar,iya iyain biar cpet kelar
tunggu tunggu salam jepe 𝗦𝗚𝗜𝟴𝟴,1,tunggu tunggu salam jepe sgi88,"['tunggu', 'tunggu', 'salam', 'jepe', 'sgi88']","['tunggu', 'tunggu', 'salam', 'jepe', 'sgi88']",tunggu tunggu salam jepe sgi88,tunggu tunggu salam jepe sgi88,tunggu tunggu salam jepe sgi88
"dari 2004 sampai dengan 2024, gak pernah milih bapak ini",0,dari 2oo4 sampai dengan 2o24 gak pernah milih bapak ini,"['dari', '2oo4', 'sampai', 'dengan', '2o24', 'gak', 'pernah', 'milih', 'bapak', 'ini']","['dari', '2oo4', 'sampai', 'dengan', '2o24', 'tidak', 'pernah', 'milih', 'bapak', 'ini']",dari 2oo4 sampai dengan 2o24 tidak pernah milih bapak ini,2oo4 2o24 milih,2oo4 2o24 milih
 @bagusutoro9547  lah emg si owo gtu doang bsa nya kan? buzzer 700 perak kah?,0,bagusutoro9547 lah emg si owo gtu doang bsa nya kan buzzer 7oo perak kah,"['bagusutoro9547', 'lah', 'emg', 'si', 'owo', 'gtu', 'doang', 'bsa', 'nya', 'kan', 'buzzer', '7oo', 'perak', 'kah']","['bagusutoro9547', 'lah', 'memang', 'si', 'owo', 'gtu', 'doang', 'bisa', 'nya', 'kan', 'buzzer', '7oo', 'perak', 'kah']",bagusutoro9547 lah memang si owo gtu doang bisa nya kan buzzer 7oo perak kah,bagusutoro9547 si owo gtu doang nya buzzer 7oo perak kah,bagusutoro9547 si owo gtu doang nya buzzer 7oo perak kah
woo tak kira di lokasi,0,woo tak kira di lokasi,"['woo', 'tak', 'kira', 'di', 'lokasi']","['woo', 'tak', 'kira', 'di', 'lokasi']",woo tak kira di lokasi,woo lokasi,woo lokasi
Feel-nya dapet! 𝗕𝗘𝗥𝗞𝗔𝗛𝟵𝟵,1,feel nya dapet berkah99,"['feel', 'nya', 'dapet', 'berkah99']","['feel', 'nya', 'dapet', 'berkah99']",feel nya dapet berkah99,feel nya dapet berkah99,feel nya dapet berkah99
JOGJA ISTIMEWA ❤️❤️❤️❤️❤️,0,jogja istimewa,"['jogja', 'istimewa']","['jogja', 'istimewa']",jogja istimewa,jogja istimewa,jogja istimewa
Waah Bimo tambah kasep pake Jersey timnas. Keren 👍👍🇮🇩🇮🇩🔥🔥,0,waah bimo tambah kasep pake jersey timnas keren,"['waah', 'bimo', 'tambah', 'kasep', 'pake', 'jersey', 'timnas', 'keren']","['waah', 'bimo', 'tambah', 'kasep', 'pake', 'jersey', 'timnas', 'keren']",waah bimo tambah kasep pake jersey timnas keren,waah bimo kasep pake jersey timnas keren,waah bimo kasep pake jersey timnas keren
Ngeliat konten ⭐️𝑰𝑺𝑻𝑨𝑵𝑨𝑩𝑬𝑻17⭐️ tuh kayak healing,1,ngeliat konten istanabet17 tuh kayak healing,"['ngeliat', 'konten', 'istanabet17', 'tuh', 'kayak', 'healing']","['ngeliat', 'konten', 'istanabet17', 'tuh', 'kayak', 'healing']",ngeliat konten istanabet17 tuh kayak healing,ngeliat konten istanabet17 tuh kayak healing,ngeliat konten istanabet17 tuh kayak healing
Tugas kuliah lebih baik dari pada ini,0,tugas kuliah lebih baik dari pada ini,"['tugas', 'kuliah', 'lebih', 'baik', 'dari', 'pada', 'ini']","['tugas', 'kuliah', 'lebih', 'baik', 'dari', 'pada', 'ini']",tugas kuliah lebih baik dari pada ini,tugas kuliah,tugas kuliah
jam 18.00 kayaknya baru mulai band. kalo di Randown gitu,0,jam 18 oo kayaknya baru mulai band kalo di randown gitu,"['jam', '18', 'oo', 'kayaknya', 'baru', 'mulai', 'band', 'kalo', 'di', 'randown', 'gitu']","['jam', '18', 'oo', 'kayaknya', 'baru', 'mulai', 'band', 'kalo', 'di', 'randown', 'gitu']",jam 18 oo kayaknya baru mulai band kalo di randown gitu,jam 18 oo kayaknya band kalo randown gitu,jam 18 oo kayak band kalo randown gitu
