komentar,label,komentar_cleaned_p1
"temen gue negeri aja tau ｐｕｌａｕｗｉｎ , gokil !",1,temen gue negeri aja tau pulauwin gokil
Yah gws deh ni negara,0,yah gws deh ni negara
saake sek desel deselan,0,saake sek desel deselan
Saatnya bersinar bersama 13:12 𝙈𝘼𝙉𝘿𝘼𝙇𝙄𝙆𝘼77,1,saatnya bersinar bersama 13 12 mandalika77
Pak Wapres Hebat...! Bisa ilangin dislike puluhan ribu dlm sehari😂,0,pak wapres hebat bisa ilangin dislike puluhan ribu dlm sehari
"Bekas lipatannya baru keliatan pas udah di bahas, emang keren nih hp",0,bekas lipatannya baru keliatan pas udah di bahas emang keren nih hp
WISDOMTOTO ASUU,1,wisdomtoto asuu
lama2 bangkrut juga ni bossnya 𝓂𝒶𝓃𝒹𝒶𝓁𝒾𝓀𝒶𝟩𝟩 soalnya profit trus aku main dari kemaren wkkwkw,1,lama2 bangkrut juga ni bossnya mandalika77 soalnya profit trus aku main dari kemaren wkkwkw
"Setuju, tapi tidak untuk Kingfinix 😎",0,setuju tapi tidak untuk kingfinix
"ga jadi nyesel cuma nonton ndek hp, nek teko langsung paling wes semaput aku",0,ga jadi nyesel cuma nonton ndek hp nek teko langsung paling wes semaput aku
06:37 Gak pernah bosen nonton! 𝗕𝗘𝗥𝗞𝗔𝗛𝟵𝟵,1,o6 37 gak pernah bosen nonton berkah99
"Cuma di sini, ⚡ALEXIS17⚡ itu andalan gue sekarang!",1,cuma di sini alexis17 itu andalan gue sekarang
Kepikiran juga sama pak ahok pakai pembukaan scholar mate😂,0,kepikiran juga sama pak ahok pakai pembukaan scholar mate
sehat salam 𝐒𝐆𝐈𝟖𝟖 gampang jepe,1,sehat salam sgi88 gampang jepe
tinggal di Pakualaman tp tetep milih nonton di yt daripada ke yt wkwkwkkw,0,tinggal di pakualaman tp tetep milih nonton di yt daripada ke yt wkwkwkkw
buseh komen nye udh terwakili semua 😅😅😅😅😂😂😂😂,0,buseh komen nye udh terwakili semua
Dikampung saya banyak yg gitu mainya di PULAU777,1,dikampung saya banyak yg gitu mainya di pulau777
Intinya kalau kerja minta cariin bapak...,0,intinya kalau kerja minta cariin bapak
oke,0,oke
"03:11 Semua nya memang mudah kalau hanya di bicarakan, yang ngasih bukti cuma ✅ 𝙱𝙾𝙻𝙰442 ✅",1,o3 11 semua nya memang mudah kalau hanya di bicarakan yang ngasih bukti cuma bola442
09:28 Berbobot banget walau singkat! 𝗕𝗘𝗥𝗞𝗔𝗛𝟵𝟵,1,o9 28 berbobot banget walau singkat berkah99
"menang pawpaw4d , gak membanggakan !",1,menang pawpaw4d gak membanggakan
24:23 wkaokwaokwoaow SEKAK,0,24 23 wkaokwaokwoaow sekak
melatih kesabaran ini namanya,0,melatih kesabaran ini namanya
faedahe apa blog ?,0,faedahe apa blog
jgn nekat mas😂😂😂,0,jgn nekat mas
"𝔭𝔲𝔩𝔞𝔲𝟽𝟽𝟽 ? TERBAIKK, jepe terus bro!",1,pulau777 terbaikk jepe terus bro
"hoki gak bohong , udah pakai pawpaw4d !",1,hoki gak bohong udah pakai pawpaw4d
"gacur banget , auto wede",1,gacur banget auto wede
Request tanya jawab dengan wapress —>,0,request tanya jawab dengan wapress
"Wkwkwkwk mobil paling mahal juara 3 , amandio dong",0,wkwkwkwk mobil paling mahal juara 3 amandio dong
Tadi aku habis nonton sekarang di hotel,0,tadi aku habis nonton sekarang di hotel
"Awalnya gue mikir itu aplikasi biasa, tapi kok semua orang ngomongin PULAUWIN?",1,awalnya gue mikir itu aplikasi biasa tapi kok semua orang ngomongin pulauwin
Aku orang indonesia SANGAT MALU PUNYA WAPRESSS NEGINI KULITASNYA.,0,aku orang indonesia sangat malu punya wapresss negini kulitasnya
"Mantul banget P U L A U 7 7 7, jepe lagi nih.",1,mantul banget pulau 7 7 7 jepe lagi nih
"Gan hasil wede cair pula bermain dis3rver  mandalika77  angan- angan member, gua kelepek saking cakapnya  mandalika77  nyarik cuan.",1,gan hasil wede cair pula bermain dis3rver mandalika77 angan angan member gua kelepek saking cakapnya mandalika77 nyarik cuan
"06:15 Dari rumah aja bisa jualan sukses, luar biasa banget! Kalau 𝗕𝗘𝗥𝗞𝗔𝗛𝟵𝟵, dari rumah bisa menang besar!",1,o6 15 dari rumah aja bisa jualan sukses luar biasa banget kalau berkah99 dari rumah bisa menang besar
Ahahahah jokes bapak” sekali om 🤣,0,ahahahah jokes bapak sekali om
"Makswin brusan di Gates, GG banget",1,makswin brusan di gates gg banget
situs mantap 𝐏𝐋𝐔𝐓𝐎𝟖𝟖 gampang menangnya,1,situs mantap pluto88 gampang menangnya
Hadiah berlipat ganda cuman di ⭐𝘼𝙇𝙀𝙓𝙄𝙎17 aja lee.,1,hadiah berlipat ganda cuman di alexis17 aja lee
keren mandalika77,1,keren mandalika77
Sering senyum sendiri gara-gara 🅟🅤🅛🅐🅤🅦🅘🅝.,1,sering senyum sendiri gara gara pulauwin
"Senang banget bisa dapet rezeki besar dari D𝘖𝐑𝘼𝟽7, hasilnya luar biasa!",1,senang banget bisa dapet rezeki besar dari dora77 hasilnya luar biasa
"alexis17 ! emang ga bikin kecewa , withdraw dibayar tapi-tapi",1,alexis17 emang ga bikin kecewa withdraw dibayar tapi tapi
selamat ulang tahun Kota Yogyakarta ku ..,0,selamat ulang tahun kota yogyakarta ku
Komenan emak2 pesbuk,0,komenan emak2 pesbuk
btw bapak nya siapa ?😢,0,btw bapak nya siapa
Rungkad = Nangis,0,rungkad nangis
"bermain teman-teman 𝗦𝗚𝗜𝟴𝟴 seru asyik , rezekinya !",1,bermain teman teman sgi88 seru asyik rezekinya
Bang boleh tau merk sepatu yang abang pakek apa ya ?,0,bang boleh tau merk sepatu yang abang pakek apa ya
mantab Jogja 👌,0,mantab jogja
gak nyesel gabung alexis17 .,1,gak nyesel gabung alexis17
"dapet freebet dari pulau777 20k eh naik jadi 1,6jt mantap",1,dapet freebet dari pulau777 2ok eh naik jadi 1 6jt mantap
sumpah 𝘼𝙇𝙀𝙓𝙄𝙎17 tuh bener-bener ngebantu banget pas butuh duit darurat,1,sumpah alexis17 tuh bener bener ngebantu banget pas butuh duit darurat
"happy banget main d𝙊яa 𝟩𝟽 , menangnya !",1,happy banget main doiaa 77 menangnya
produk korean utara apa korea selatan?,0,produk korean utara apa korea selatan
Bang gw punya suv taun lama bisa di bangun buat ngedrift gak ya? 10:59,0,bang gw punya suv taun lama bisa di bangun buat ngedrift gak ya 1o 59
❤ 🆆🅴🆃🅾🅽88 ❤,0,weton 88
"seminggu main alexis17 , hidup gue berubah 180 derajat !",1,seminggu main alexis17 hidup gue berubah 18o derajat
:face-red-heart-shape::face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:,0,face red heart shape face red heart shape face red heart shape face red heart shape
"Gara-gara 𝓟𝓤𝓛𝓐𝓤𝓦𝓘𝓝, grup WA kantor jadi rame banget.",1,gara gara pulauwin grup wa kantor jadi rame banget
Tawarin ke dewi masyitoh mas.....karena dia mau merintis parwis,0,tawarin ke dewi masyitoh mas karena dia mau merintis parwis
Ternyata benerGa ru da ho ki gacoor gua kira nyampah doang😍,1,ternyata benerga ru da ho ki gacoor gua kira nyampah doang
Tugas kuliah tapi yang ngerjain Chat Gpt 🤒,0,tugas kuliah tapi yang ngerjain chat gpt
"intinya bermainlah dengan sabar jangan barbar, karena kemenenangan akan datang setelah sabar wkwk hiburan bukan di jadiin mata pencaharian, kalau gw main di M𝗮𝘯𝐝𝗮𝑙𝗶𝒌𝐚𝟟𝟳!",1,intinya bermainlah dengan sabar jangan barbar karena kemenenangan akan datang setelah sabar wkwk hiburan bukan di jadiin mata pencaharian kalau gw main di mandalika77
Lakon opo iki?,0,lakon opo iki
Mana sih video aslinya,0,mana sih video aslinya
Enggak sabar liat maestro Tahir pake Jersey ini 🥳,0,enggak sabar liat maestro tahir pake jersey ini
Lancar lancar bang salam Jepe 𝗪𝗘𝗧𝗢𝗡𝟴𝟴,1,lancar lancar bang salam jepe weton88
emang gak saingannya sih keuntungan main alexis17 .,1,emang gak saingannya sih keuntungan main alexis17
yg db 10 aja kebeli udah db 12 aja,1,yg db 1o aja kebeli udah db 12 aja
​ @mascar007 lahhh mereka kita gaji buat nyari solusi,0,mascaroo7 lahhh mereka kita gaji buat nyari solusi
𝐊𝐨𝐢𝐒𝐋𝐎𝐓 bikin pemula langsung pede !,1,koislot bikin pemula langsung pede
 @keannudandossi7613  aduu sorry chrysler mah jeep ya 😅,0,keannudandossi7613 aduu sorry chrysler mah jeep ya
Salfook sama AE86 😂,0,salfook sama ae86
ntn di hp aja pasti sdh gk bisa masuk,0,ntn di hp aja pasti sdh gk bisa masuk
Orang kaya kalo lupa unik ya. “Mengingatkan gw kalo punya X max😢😢,0,orang kaya kalo lupa unik ya mengingatkan gw kalo punya x max
P U L A U 7 7 7 udah paling gacor,1,pulau 7 7 7 udah paling gacor
"gue suka penasaran , 𝙋𝙐𝙇𝘼𝙐𝙒𝙄𝙉 sedominan ?",1,gue suka penasaran pulauwin sedominan
"𝐀G𝘜𝘚TO𝘛𝘖 gua suka banget main disini, mudah menangnya",1,agustoto gua suka banget main disini mudah menangnya
"Cuma di sini, Tempat paling aman dan asik? 🔥⚡ALEXIS17⚡?🔥",1,cuma di sini tempat paling aman dan asik alexis17
"𝘈𝘎𝑈𝙎𝘛𝙊𝐓O tiap main pasti ada aja jackpot, luar biasa",1,agustoto tiap main pasti ada aja jackpot luar biasa
🔥 PuIauwin 🔥 nomero uno,1,puiauwin nomero uno
"Sangat ksatria❤
1 VS 360 juta",0,sangat ksatria 1 vs 36o juta
muluncur broooo...jgn lupa mbawa sarung dan topi😅,0,muluncur broooo jgn lupa mbawa sarung dan topi
Topeng om mobi tu bauk apek pasti,0,topeng om mobi tu bauk apek pasti
42:35 Pinter cari uang kalah dengan pinter hemat uang,0,42 35 pinter cari uang kalah dengan pinter hemat uang
dan pabila esok,0,dan pabila esok
waalaikumsalam,0,waalaikumsalam
reng ponorogo udah tampil belum ya teman* ?,0,reng ponorogo udah tampil belum ya teman
aku meh nonton tapi rarwti tempat parki e,0,aku meh nonton tapi rarwti tempat parki e
taun wingi okeh seng semaput...sumuuuuuuk e pool,0,taun wingi okeh seng semaput sumuuuuuuk e pool
Gasss Xmax nya hedonin😅,0,gasss xmax nya hedonin
"Mantul banget 𝓅 𝓊 𝐼 𝒶 𝒰 𝟩 𝟩 𝟩, jepe lagi nih.",1,mantul banget puiau 7 7 7 jepe lagi nih
congrats family drifter🎉,0,congrats family drifter
thank you time stamp-nya ❤,0,thank you time stamp nya
"Main sebentar aja langsung dapet rezeki besar, keren banget A𝐆U𝘚T𝙊𝑇𝙊!",1,main sebentar aja langsung dapet rezeki besar keren banget agustoto
ohh pasti ini Malioboro ya? 🤩,0,ohh pasti ini malioboro ya
"ＰＵＬＡＵＷＩＮ kok kayak ada di mana-mana ya, meresap banget.",1,pulauwin kok kayak ada di mana mana ya meresap banget
"selamat ulang tahun jogja, semoga semakin istimewa",0,selamat ulang tahun jogja semoga semakin istimewa
"07:15 Salut sama tim di balik ✌𝗕𝗘𝗥𝗞𝗔𝗛𝟵𝟵 ✌, terus berinovasi ya!",1,o7 15 salut sama tim di balik berkah99 terus berinovasi ya
kesuen gambleh wae,0,kesuen gambleh wae
mas kapan punya bus slepper buat wisata 😊😊😊,0,mas kapan punya bus slepper buat wisata
Ahok Mahfud sih,0,ahok mahfud sih
"bro alexis17 , turnamen gede nih , hadiahnya bisnis franchise",1,bro alexis17 turnamen gede nih hadiahnya bisnis franchise
"alexis 17 emang ga duanya , pelayanan vip member",1,alexis 17 emang ga duanya pelayanan vip member
Ini Wapres yang asli ya..😂😂😂,0,ini wapres yang asli ya
"Bahkan grup keluarga gue isinya mulai bahas 𝗕𝗘𝗥𝗞𝗔𝗛𝟵𝟵, heran!",1,bahkan grup keluarga gue isinya mulai bahas berkah99 heran
notif langsung nonton habis jepe 𝐒 𝙂ｉ𝟖 𝟖,1,notif langsung nonton habis jepe s gi8 8
"makasih 𝐷оrа𝟩𝟳 , rezeki henti !",1,makasih dora77 rezeki henti
"𝐀G𝘜𝘚TO𝘛𝘖 aku cba maen, malah jekpot gede",1,agustoto aku cba maen malah jekpot gede
"wede mantap , seketer ​r​ajin",1,wede mantap seketer r ajin
mulai Jam 6,0,mulai jam 6
Tunjukan ijazahmu atau simpan rapat rapat biar tak dicurigai orang,0,tunjukan ijazahmu atau simpan rapat rapat biar tak dicurigai orang
Jelas ko jawabannya pak presiden kau yang ga nangkep ...,0,jelas ko jawabannya pak presiden kau yang ga nangkep
Fortuner cumi2 nya di lewatin dong 😂 15:36,0,fortuner cumi2 nya di lewatin dong 15 36
"sketer muncul terus, auto jepek",1,sketer muncul terus auto jepek
"makasih d о 𝑅 𝐴 𝟳 𝟩 , rezeki henti !",1,makasih dora 7 7 rezeki henti
" @joMan1060  cukup oke apaan, cuman defensif gitu sambil muter muter",0,joman1o6o cukup oke apaan cuman defensif gitu sambil muter muter
"rezeki melimpah alexis'17 , makasih !",1,rezeki melimpah alexis 17 makasih
si alexis17 rajin banget udah nugas pagi . hehe .,1,si alexis17 rajin banget udah nugas pagi hehe
"Jangan sampai ketinggalan, main di 𝘈𝐺𝐔𝑆𝐓𝑂𝙏𝘖dan rasakan sendiri!",1,jangan sampai ketinggalan main di agustotodan rasakan sendiri
"Pas buka Instagram explore, muncul reels tentang ❝PULAUWIN❞.",1,pas buka instagram explore muncul reels tentang pulauwin
"sopo ngelak, aku bakol",0,sopo ngelak aku bakol
beli j2 prime gas aku,0,beli j2 prime gas aku
mandalika77 mantap,1,mandalika77 mantap
"Pengalaman luar biasa tiap main di 𝘈𝘏M𝐴𝘋𝐓O𝘛𝐎, bener-bener gacir!",1,pengalaman luar biasa tiap main di ahmadtoto bener bener gacir
05:22 Selalu dinanti nih kontennya! 𝗕𝗘𝗥𝗞𝗔𝗛𝟵𝟵,1,o5 22 selalu dinanti nih kontennya berkah99
Emang gak ada yang se-seru ALEXIS⭐17⭐ deh.,1,emang gak ada yang se seru alexis17 deh
Makin makin nih hp 😂 makin nggak bisa kebeli😂,0,makin makin nih hp makin nggak bisa kebeli
lambo lbwk?,0,lambo lbwk
widih keren,0,widih keren
"game-nya gacor banget , lgsng jepek",1,game nya gacor banget lgsng jepek
"mantap banget , rejeki ngalir",1,mantap banget rejeki ngalir
Itu pabrik tempat saya kerja 😅,0,itu pabrik tempat saya kerja
✤𝐌𝐀𝐍𝐔𝐓𝟖𝟖✤selalu jadi andalaanku kalau akhir bulan,1,manut88selalu jadi andalaanku kalau akhir bulan
"maen Swert Bonanja, sketer terus-terusan",1,maen swert bonanja sketer terus terusan
Pulau 777 – Setiap kemenangan semakin dekat!,1,pulau 777 setiap kemenangan semakin dekat
"sumpah , dapetin info 𝘼𝙇𝙀𝙓𝙄𝙎17 ?",1,sumpah dapetin info alexis17
dirgahayu yogya,0,dirgahayu yogya
Mau sukses harus punya orang dekat dan orang dalam,0,mau sukses harus punya orang dekat dan orang dalam
"cakep kali 𝗪𝗘𝗧𝗢𝗡𝟴𝟴 , bravo ..",1,cakep kali weton88 bravo
emang gak se-profitable alexis17 deh .,1,emang gak se profitable alexis17 deh
🅜🅔🅝🅨🅐🅛🅐 🅖🅔🅛🅞🅡🅐➍🅓 🅚🅤 🅢🅤🅚🅢🅔🅢 🅢🅔🅛🅐🅛🅤,1,menyalageloradkusuksesselalu
Sr3 itu Lo dah jelas,0,sr3 itu lo dah jelas
iki gong acarane opo bos? onok opo ngko?,0,iki gong acarane opo bos onok opo ngko
"Wede cepat, pelayanan ramah banget",1,wede cepat pelayanan ramah banget
@Manusia_Biasa_D  bener nih. Padahal yang @JokoJMC sebut salah . Tapi pada jd top komen wkwkwkwk,0,manusia biasa d bener nih padahal yang jokojmc sebut salah tapi pada jd top komen wkwkwkwk
gue rela ninggalin bisnis fokus alexis17 .,1,gue rela ninggalin bisnis fokus alexis17
mampir cuma utk dislike,0,mampir cuma utk dislike
"Rezeki yang diberikan oleh  ʙ𝘜KꀤT 888 sungguh tiada tara nilainya, terima kasih ya Allah atas berkat-Mu!",1,rezeki yang diberikan oleh bukbuopt 888 sungguh tiada tara nilainya terima kasih ya allah atas berkat mu
ANTB OFFICIAL  ＢＡＴＲＥ４Ｄ,1,antb official batre4d
swert bonanja bener-bener gacir banget,1,swert bonanja bener bener gacir banget
Mak nonton botak yang ini juga 😂😂😂,0,mak nonton botak yang ini juga
01:02 Ga bosen-bosen nonton! 𝗕𝗘𝗥𝗞𝗔𝗛𝟵𝟵,1,o1 o2 ga bosen bosen nonton berkah99
dapetin info 𝘼𝙇𝙀𝙓𝙄𝙎17 ? fix .,1,dapetin info alexis17 fix
6:07 uhuuuyyy,1,6 o7 uhuuuyyy
"P U L A U 7 7 7 bikin untung tiap hari, WD jalan terus!",1,pulau 7 7 7 bikin untung tiap hari wd jalan terus
Ngomong aja masih kek baca text 🗿🗿,0,ngomong aja masih kek baca text
"Gak nyangka kontennya seenak ini ditonton, sambil spin di ✌𝗣𝗦𝗧𝟎𝗧𝟎𝟵𝟵✌ makin berasa santainya 😎🎥🎰",1,gak nyangka kontennya seenak ini ditonton sambil spin di pst0t099 makin berasa santainya
gua member ga ruda ho ki-jepee sumpah,1,gua member ga ruda ho ki jepee sumpah
"eh bro , alexis17 ! event spesial nih , hadiahnya rumah mewah",1,eh bro alexis17 event spesial nih hadiahnya rumah mewah
HEH MENENGGG,0,heh menenggg
iklan lagiiiiiiii,0,iklan lagiiiiiiii
Nonton dengan kecepatan 1.25x lebih baik,0,nonton dengan kecepatan 1 25x lebih baik
perbatasan hadir,0,perbatasan hadir
"alexis'17 wedey gede , cma maen bentar",1,alexis 17 wedey gede cma maen bentar
suka land cruiser vx80,0,suka land cruiser vx8o
"SKAKMAT TERBAIK, TERKOCAK, TERNGAKAK 🤣🤣🤣",0,skakmat terbaik terkocak terngakak
Sekarang gd update videonya ngga harus hari jumat ya,0,sekarang gd update videonya ngga harus hari jumat ya
Dukungan pelanggan di ᴘᴜʟᴀᴜ𝟽𝟽𝟽 sangat membantu.,1,dukungan pelanggan di pulau777 sangat membantu
Ditanya a jawabnya b😭👊,0,ditanya a jawabnya b
makin parah sih warga didesa gua pada ketagihan main pulau777,1,makin parah sih warga didesa gua pada ketagihan main pulau777
tugu ora udan po,0,tugu ora udan po
Fix gak nyesel! Bangga banget jadi bagian dari 🔥⚡ALEXIS17⚡?🔥,1,fix gak nyesel bangga banget jadi bagian dari alexis17
33:30 bingung mobilnya keren keren,0,33 3o bingung mobilnya keren keren
Dah ah tobat gk maenGaruda-hoki lg abis maxwin soalnya🤣,1,dah ah tobat gk maengaruda hoki lg abis maxwin soalnya
jalur ordal om @darmo,0,jalur ordal om darmo
16:22 menggoreng temen sendiri😅😅🙊,0,16 22 menggoreng temen sendiri
" @lalisamanoban837  dari td gw nanya, mang pertanyaan nya apa yg jawaba nya ngelantur ?",0,lalisamanoban837 dari td gw nanya mang pertanyaan nya apa yg jawaba nya ngelantur
​@MahjongAz engga,1,mahjongaz engga
Mantap! Setia banget sama ⚡ALEXIS17⚡ sejak awal!,1,mantap setia banget sama alexis17 sejak awal
wkwkwkwkw Cemen lo nji.. keok ma ahok.😂😄🤪🫶🏻,0,wkwkwkwkw cemen lo nji keok ma ahok
